team,year,position,depth,first_name,last_name
ARI,2006,RB,1,Edgerrin,James
ARI,2006,RB,2,J.J.,Arrington
ARI,2006,RB,3,Diamond,Ferri
ARI,2006,RB,3,Marcel,Shipp
ATL,2006,RB,1,Warrick,Dunn
ATL,2006,RB,2,Jerious,Norwood
BAL,2006,RB,1,Jamal,Lewis
BAL,2006,RB,2,Mike,Anderson
BAL,2006,RB,3,P.J.,Daniels
CAR,2006,RB,1,DeShaun,Foster
CAR,2006,RB,2,DeAngelo,Williams
CHI,2006,RB,1,Thomas,Jones
CHI,2006,RB,2,Cedric,Benson
CHI,2006,RB,3,Adrian,Peterson
CIN,2006,RB,1,Rudi,Johnson
CIN,2006,RB,2,Kenny,Watson
CIN,2006,HB,3,Quincy,Wilson
CLE,2006,RB,1,Reuben,Droughns
CLE,2006,RB,2,Jerome,Harrison
CLE,2006,RB,3,Jason,Wright
DAL,2006,N,1,Julius,Jones
DAL,2006,RB,2,Marion,Barber
DAL,2006,RB,3,Tyson,Thompson
DEN,2006,RB,1,Mike,Bell
DEN,2006,RB,2,Tatum,Bell
DEN,2006,RB,3,Cedric,Cobbs
GB,2006,RB,1,Ahman,Green
GB,2006,RB,2,Noah,Herron
GB,2006,RB,3,Sam,Gado
HOU,2006,RB,1,Wali,Lundy
HOU,2006,RB,2,Vernand,Morency
HOU,2006,RB,3,Chris,Taylor
HOU,2006,RB,3,Ron,Dayne
IND,2006,RB,1,Dominic,Rhodes
IND,2006,RB,2,Joseph,Addai
JAC,2006,RB,1,LaBrandon,Toefield
JAC,2006,RB,1,Fred,Taylor
JAC,2006,FB,2,Montell,Owens
JAC,2006,RB/KR,2,Derrick,Wimbush
JAC,2006,RB/KR,3,Maurice,Jones-Drew
KC,2006,RB,1,Larry,Johnson
KC,2006,RB,2,Michael,Bennett
KC,2006,RB,3,Dee,Brown
MIA,2006,RB,1,Ronnie,Brown
MIA,2006,RB,2,Travis,Minor
MIA,2006,RB,3,Lee,Suggs
MIN,2006,RB,1,Chester,Taylor
MIN,2006,RB,2,Mewelde,Moore
MIN,2006,RB,3,Ciatrick,Fason
NE,2006,RB,1,Corey,Dillon
NE,2006,RB,2,Kevin,Faulk
NE,2006,RB,3,Laurence,Maroney
NO,2006,RB,1,Deuce,McAllister
NO,2006,RB,2,Reggie,Bush
NO,2006,RB,3,Aaron,Stecker
NYG,2006,RB,1,Tiki,Barber
NYG,2006,RB,2,Brandon,Jacobs
NYG,2006,RB,3,Derrick,Ward
NYJ,2006,RB,1,Derrick,Blaylock
NYJ,2006,RB,2,Cedric,Houston
NYJ,2006,RB/KR,3,Leon,Washington
NYJ,2006,RB,3,Kevan,Barlow
OAK,2006,RB/KR,1,LaMont,Jordan
OAK,2006,RB,2,Justin,Fargas
OAK,2006,RB,3,Reshard,Lee
PHI,2006,RB/KR,1,Brian,Westbrook
PHI,2006,RB,2,Correll,Buckhalter
PHI,2006,RB,3,Reno,Mahe
SD,2006,RB,1,LaDainian,Tomlinson
SD,2006,RB,2,Michael,Turner
SEA,2006,RB,1,Shaun,Alexander
SEA,2006,RB,2,Maurice,Morris
SEA,2006,RB,3,Josh,Scobey
SF,2006,RB,1,Frank,Gore
SF,2006,RB,2,Maurice,Hicks
SF,2006,FB,3,Michael,Robinson
STL,2006,RB,1,Steven,Jackson
STL,2006,RB,2,Tony,Fisher
